sid,dat,tim,open_value,low,high,close_value,volume
971,2020-05-07,15:59:00,22.61,22.5,23.52,22.79,1972171
579,2020-05-07,15:59:00,777.21,772.35,796.4,780,11284792
632,2020-05-07,15:59:00,76.71,75.62,79.8,79.39,310843
711,2020-05-07,15:59:00,436.89,430.66,438.87,436.13,5096644
146,2020-05-07,15:59:00,211.16,209.04,211.6,211.1,12211752
178,2020-05-07,15:59:00,1361.31,1352.54,1375.5,1367.9,1190585
267,2020-05-07,15:59:00,2374.78,2343.11,2376,2362.81,2926093
292,2020-05-07,15:59:00,28.08,27.95,28.77,28.735,13846182
365,2020-05-07,15:59:00,303.22,301.97,305.17,303.58,26088471
413,2020-05-07,15:59:00,18.55,18.32,18.92,18.75,3090037
292,2020-05-07,15:58:00,28.08,27.95,28.77,28.74,13726112
365,2020-05-07,15:58:00,303.22,301.97,305.17,303.381,25924241
413,2020-05-07,15:58:00,18.55,18.32,18.92,18.7,3059592
579,2020-05-07,15:58:00,777.21,772.35,796.4,780.58,11249722
632,2020-05-07,15:58:00,76.71,75.62,79.8,79.28,303821
711,2020-05-07,15:58:00,436.89,430.66,438.87,435.97,5071333
971,2020-05-07,15:58:00,22.61,22.5,23.52,22.76,1944642
146,2020-05-07,15:58:00,211.16,209.04,211.6,210.97,12101644
178,2020-05-07,15:58:00,1361.31,1352.54,1375.5,1366.9,1179512
267,2020-05-07,15:58:00,2374.78,2343.11,2376,2361.7,2891378
146,2020-05-07,15:57:00,211.16,209.04,211.6,210.93,12001283
178,2020-05-07,15:57:00,1361.31,1352.54,1375.5,1367.69,1167799
267,2020-05-07,15:57:00,2374.78,2343.11,2376,2362.95,2866515
579,2020-05-07,15:57:00,777.21,772.35,796.4,780.29,11209577
632,2020-05-07,15:57:00,76.71,75.62,79.8,79.205,300282
711,2020-05-07,15:57:00,436.89,430.66,438.87,436.3,5044483
292,2020-05-07,15:57:00,28.08,27.95,28.77,28.735,13639294
365,2020-05-07,15:57:00,303.22,301.97,305.17,303.38,25813456
413,2020-05-07,15:57:00,18.55,18.32,18.92,18.66,2998172
971,2020-05-07,15:57:00,22.61,22.5,23.52,22.76,1922580
971,2020-05-07,15:56:00,22.61,22.5,23.52,22.81,1893958
579,2020-05-07,15:56:00,777.21,772.35,796.4,780.78,11186308
632,2020-05-07,15:56:00,76.71,75.62,79.8,79.25,297948
711,2020-05-07,15:56:00,436.89,430.66,438.87,436.43,5022921
146,2020-05-07,15:56:00,211.16,209.04,211.6,210.88,11931085
178,2020-05-07,15:56:00,1361.31,1352.54,1375.5,1368.05,1154942
267,2020-05-07,15:56:00,2374.78,2343.11,2376,2362.57,2842005
292,2020-05-07,15:56:00,28.08,27.95,28.77,28.73,13585413
365,2020-05-07,15:56:00,303.22,301.97,305.17,303.22,25688924
413,2020-05-07,15:56:00,18.55,18.32,18.92,18.675,2941931
292,2020-05-07,15:55:00,28.08,27.95,28.77,28.745,13512972
365,2020-05-07,15:55:00,303.22,301.97,305.17,303.37,25552014
413,2020-05-07,15:55:00,18.55,18.32,18.92,18.665,2901014
579,2020-05-07,15:55:00,777.21,772.35,796.4,780.24,11150248
632,2020-05-07,15:55:00,76.71,75.62,79.8,79.45,293993
711,2020-05-07,15:55:00,436.89,430.66,438.87,436.61,4999903
971,2020-05-07,15:55:00,22.61,22.5,23.52,22.8054,1873798
146,2020-05-07,15:55:00,211.16,209.04,211.6,210.97,11849258
178,2020-05-07,15:55:00,1361.31,1352.54,1375.5,1369.38,1146171
267,2020-05-07,15:55:00,2374.78,2343.11,2376,2363.3,2813379
146,2020-05-07,15:54:00,211.16,209.04,211.6,210.58,11746948
178,2020-05-07,15:54:00,1361.31,1352.54,1375.5,1364.13,1122657
267,2020-05-07,15:54:00,2374.78,2343.11,2376,2359.95,2786169
579,2020-05-07,15:54:00,777.21,772.35,796.4,779.39,11110790
632,2020-05-07,15:54:00,76.71,75.62,79.8,79.17,290305
711,2020-05-07,15:54:00,436.89,430.66,438.87,436.01,4965284
292,2020-05-07,15:54:00,28.08,27.95,28.77,28.71,13431143
365,2020-05-07,15:54:00,303.22,301.97,305.17,303.031,25366625
413,2020-05-07,15:54:00,18.55,18.32,18.92,18.645,2874844
971,2020-05-07,15:54:00,22.61,22.5,23.52,22.77,1853907
971,2020-05-07,15:53:00,22.61,22.5,23.52,22.77,1841958
579,2020-05-07,15:53:00,777.21,772.35,796.4,779.36,11091512
632,2020-05-07,15:53:00,76.71,75.62,79.8,79.12,288303
711,2020-05-07,15:53:00,436.89,430.66,438.87,435.74,4951604
146,2020-05-07,15:53:00,211.16,209.04,211.6,210.51,11706992
178,2020-05-07,15:53:00,1361.31,1352.54,1375.5,1365.15,1114298
267,2020-05-07,15:53:00,2374.78,2343.11,2376,2358.15,2764870
292,2020-05-07,15:53:00,28.08,27.95,28.77,28.71,13385918
365,2020-05-07,15:53:00,303.22,301.97,305.17,303.03,25252305
413,2020-05-07,15:53:00,18.55,18.32,18.92,18.63,2826476
292,2020-05-07,15:52:00,28.08,27.95,28.77,28.73,13319373
365,2020-05-07,15:52:00,303.22,301.97,305.17,303.29,25129112
413,2020-05-07,15:52:00,18.55,18.32,18.92,18.625,2809117
579,2020-05-07,15:52:00,777.21,772.35,796.4,779.29,11067306
632,2020-05-07,15:52:00,76.71,75.62,79.8,79.16,286327
711,2020-05-07,15:52:00,436.89,430.66,438.87,436.21,4934971
971,2020-05-07,15:52:00,22.61,22.5,23.52,22.83,1824638
146,2020-05-07,15:52:00,211.16,209.04,211.6,210.59,11640420
178,2020-05-07,15:52:00,1361.31,1352.54,1375.5,1364.31,1107398
267,2020-05-07,15:52:00,2374.78,2343.11,2376,2357.15,2750475
146,2020-05-07,15:51:00,211.16,209.04,211.6,210.7,11591215
178,2020-05-07,15:51:00,1361.31,1352.54,1375.5,1364.49,1101891
267,2020-05-07,15:51:00,2374.78,2343.11,2376,2359.37,2734895
579,2020-05-07,15:51:00,777.21,772.35,796.4,779.65,11043331
632,2020-05-07,15:51:00,76.71,75.62,79.8,79.13,284649
711,2020-05-07,15:51:00,436.89,430.66,438.87,435.86,4917488
292,2020-05-07,15:51:00,28.08,27.95,28.77,28.7401,13266173
